List_Number,Simple_Name,Simple_Name_With_Epithets,Full_Name,Broad_Dynasty,Family_Name,Reign_Start,Reign_End,Reign_Length_Years,Summary,Co_Emperor_Notes,Image_URL
1,Constantine I,Constantine I the Great,Flavius Valerius Constantinus,Constantinian,Constantinus,306,337,31,Sole emperor from 324. Moved the imperial capital to Constantinople in 330. Issued the Edict of Milan granting religious tolerance. Presided over the Council of Nikaia in 325.,"Co-ruled with Licinius 313-324; sons Constantinus II, Constans, and Constantius II made Caesars",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Statua_di_Costantino_ai_musei_capitolini.jpg/500px-Statua_di_Costantino_ai_musei_capitolini.jpg
2,Constantinus II,Constantinus II,Flavius Claudius Constantinus,Constantinian,Constantinus,337,340,3,Son of Constantine I. Ruled the western provinces. Killed invading his brother Constans' territory in Italy.,Co-emperor with brothers Constans I and Constantius II,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg/500px-Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg
3,Constans I,Constans I,Flavius Julius Constans,Constantinian,Constantinus,337,350,13,Son of Constantine I. Ruled the Balkans and later the west. Supported Nicene Christianity. Murdered in a usurpation by Magnentius.,Co-emperor with brothers Constantinus II and Constantius II; sole emperor after Constantinus II's death in 340,https://upload.wikimedia.org/wikipedia/commons/8/84/Solidus_Constans_II_%28obverse%29.jpg
4,Constantius II,Constantius II,Flavius Julius Constantius,Constantinian,Constantinus,337,361,24,Son of Constantine I. Sole emperor from 350. Favored Arian Christianity. Fought the Persians repeatedly.,Co-emperor with brothers 337-350; appointed Julian as Caesar 355,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg/500px-Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg
5,Magnentius,Magnentius (Usurper),Flavius Magnus Magnentius,,Magnentius,350,353,3,Western usurper of barbarian origin. Defeated by Constantius II at Mursa Major in 351. Committed suicide.,Usurper in the west; never recognized by Constantius II,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Medallion_of_Magnentius.png/500px-Medallion_of_Magnentius.png
6,Julian,Julian the Apostate,Flavius Claudius Julianus,Constantinian,Constantinus,361,363,2,Last non-Christian emperor. Attempted to restore traditional religion. Killed on campaign against Persia.,Caesar under Constantius II from 355; proclaimed Augustus by his troops in 360,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Juliancng8851obverse.jpg/500px-Juliancng8851obverse.jpg
7,Jovian,Jovian,Flavius Jovianus,,Non-dynastic,363,364,1,Elected by the army after Julian's death. Made an unpopular peace with Persia ceding Nisibis. Died of uncertain causes after eight months.,Sole emperor; no co-rulers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Solidus_of_Jovian2_%28obverse%29.jpg/500px-Solidus_of_Jovian2_%28obverse%29.jpg
8,Valentinian I,Valentinian I,Flavius Valentinianus,Valentinianic,Valentinianus,364,375,11,Capable military emperor who ruled the west. Defended the Rhine and Danube frontiers vigorously.,Associated his brother Valens in the east; made his son Gratian co-Augustus in 367,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Bust_of_Valentinian_III%2C_Louvre_%28cropped%29.jpg/500px-Bust_of_Valentinian_III%2C_Louvre_%28cropped%29.jpg
9,Valens,Valens,Flavius Valens,Valentinianic,Valentinianus,364,378,14,"Eastern emperor, brother of Valentinian I. Allowed the Visigoths to settle inside the empire under poor conditions, leading to revolt. Killed at Adrianople in 378.",Co-emperor in the east under arrangement with Valentinian I,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/INC-3015-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._364_%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-3015-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._364_%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png
10,Gratian,Gratian,Flavius Gratianus,Valentinianic,Valentinianus,375,383,8,Son of Valentinian I. Removed the Altar of Victory from the Roman senate. Appointed Theodosios I to rule the east. Murdered by supporters of Magnus Maximus.,Co-Augustus from 367; co-ruled with half-brother Valentinian II in the west,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Gratian_Trier_enhanced.jpg/500px-Gratian_Trier_enhanced.jpg
