List_Number,Simple_Name,Simple_Name_With_Epithets,Full_Name,Broad_Dynasty,Family_Name,Reign_Start,Reign_End,Reign_Length_Years,Summary,Co_Emperor_Notes,Image_URL,Difficulty,Effectiveness,Local_Image,Composite,Wiki_Length,Wiki_Views,Length_Rank,Views_Rank,Wiki_Score
1,Constantine I,Constantine I the Great,Flavius Valerius Constantinus,Constantinian,Constantinus,306,337,31,Sole emperor from 324. Moved the imperial capital to Constantinople in 330. Issued the Edict of Milan granting religious tolerance. Presided over the Council of Nikaia in 325.,"Co-ruled with Licinius 313-324; sons Constantinus II, Constans, and Constantius II made Caesars",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Statua_di_Costantino_ai_musei_capitolini.jpg/500px-Statua_di_Costantino_ai_musei_capitolini.jpg,11,20,images/001_.jpg,84.0,180856,4576,1.0,1.0,1.0
2,Constantius II,Constantius II,Flavius Julius Constantius,Constantinian,Constantinus,337,361,24,Son of Constantine I. Sole emperor from 350. Favored Arian Christianity. Fought the Persians repeatedly.,Co-emperor with brothers 337-350; appointed Julian as Caesar 355,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg/500px-Bust_of_Constantius_II_%28Mary_Harrsch%29.jpg,6,10,images/002_.jpg,52.0,68764,716,7.0,8.0,7.5
3,Julian,Julian the Apostate,Flavius Claudius Julianus,Constantinian,Constantinus,361,363,2,Last non-Christian emperor. Attempted to restore traditional religion. Killed on campaign against Persia.,Caesar under Constantius II from 355; proclaimed Augustus by his troops in 360,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Juliancng8851obverse.jpg/500px-Juliancng8851obverse.jpg,10,12,images/003_.jpg,50.0,110060,1170,2.0,4.0,3.0
4,Jovian,Jovian,Flavius Jovianus,Non-dynastic,Non-dynastic,363,364,1,Elected by the army after Julian's death. Made an unpopular peace with Persia ceding Nisibis. Died of uncertain causes after eight months.,Sole emperor; no co-rulers,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Solidus_of_Jovian2_%28obverse%29.jpg/500px-Solidus_of_Jovian2_%28obverse%29.jpg,12,10,images/004_.jpg,54.0,909,35,79.0,82.0,80.5
5,Valens,Valens,Flavius Valens,Valentinianic,Valentinianus,364,378,14,"Eastern emperor, brother of Valentinian I. Allowed the Visigoths to settle inside the empire under poor conditions, leading to revolt. Killed at Adrianople in 378.",Co-emperor in the east under arrangement with Valentinian I,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/INC-3015-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._364_%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png/500px-INC-3015-a_%D0%A1%D0%BE%D0%BB%D0%B8%D0%B4._%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82_II._%D0%9E%D0%BA._364_%D0%B3._%28%D0%B0%D0%B2%D0%B5%D1%80%D1%81%29.png,11,6,images/005_.png,43.0,47541,477,17.0,12.0,14.5
6,Theodosios I,Theodosios I the Great,Flavius Theodosius,Theodosian,Theodosios,379,395,16,Last emperor to rule a united empire. Made Nicene Christianity the state religion in 380. Defeated multiple usurpers. Divided the empire between his sons at death.,Co-ruled with Valentinian II and Gratian; divided empire between sons Arkadios and Honorius,https://upload.wikimedia.org/wikipedia/commons/f/f7/Bust_of_Theodosius_I.jpg,16,16,images/006_.jpg,80.0,106066,1489,3.0,3.0,3.0
7,Arkadios,Arkadios,Flavius Arcadius,Theodosian,Theodosios,395,408,13,"Eastern emperor, son of Theodosios I. Weak ruler dominated by court factions. Oversaw expulsion of John Chrysostom.",Eastern Augustus from 383; co-emperor with father until 395,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Arcadius_Istanbul_Museum.JPG/500px-Arcadius_Istanbul_Museum.JPG,8,5,images/007_.jpg,31.0,33009,398,34.0,17.0,25.5
8,Theodosios II,Theodosios II,Flavius Theodosius,Theodosian,Theodosios,408,450,42,Built the Theodosian Walls. Convened the Council of Ephesos. Issued the Theodosian Law Code in 438. Largely dominated by his sister Pulcheria and senior officials.,Sole eastern emperor; western emperors ruled simultaneously,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Theodosius_II_Louvre_Ma1036.jpg/500px-Theodosius_II_Louvre_Ma1036.jpg,9,13,images/008_.jpg,57.0,31727,490,37.0,11.0,24.0
9,Markianos,Markianos,Flavius Marcianus,Theodosian,Non-dynastic,450,457,7,Military officer who married Pulcheria to gain the throne. Refused tribute to Attila. Presided over the Council of Chalkedon in 451.,Sole eastern emperor; western emperor Valentinian III ruled simultaneously until 455,https://upload.wikimedia.org/wikipedia/commons/3/39/Solidus_of_Marcian.png,12,12,images/009_.png,60.0,61167,322,9.0,26.0,17.5
10,Leo I,Leo I the Thracian,Flavius Valerius Leo,Leonid,Leo,457,474,17,First emperor crowned by the Patriarch of Constantinople. Broke the power of the general Aspar. Disastrous naval expedition against the Vandals in 468.,Made his grandson Leo II co-emperor shortly before death,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Leo_I_Louvre_Ma1012_n2.jpg/500px-Leo_I_Louvre_Ma1012_n2.jpg,8,11,images/010_.jpg,49.0,21048,332,55.0,24.0,39.5
