List_Number,Simple_Name_With_Epithets,Difficulty,Effectiveness
1,Constantine I the Great,11.0,20.0
2,Constantius II,6.0,8.0
3,Julian the Apostate,10.0,12.0
4,Jovian,12.0,10.0
5,Valens,11.0,6.0
6,Theodosios I the Great,16.0,16.0
7,Arkadios,8.0,5.0
8,Theodosios II,9.0,13.0
9,Markianos,12.0,12.0
10,Leo I the Thracian,8.0,11.0
11,Leo II,,
12,Zeno,15.0,16.0
13,Basiliskos,8.0,6.0
14,Anastasios I,10.0,18.0
15,Justin I,2.0,15.0
16,Justinian I the Great,4.0,16.0
17,Justin II,11.0,8.0
18,Tiberios II Constantine,10.0,10.0
19,Maurikios,8.0,12.0
20,Phokas,4.0,1.0
21,Herakleios,20.0,17.0
22,Constantine III,14.0,10.0
23,Heraklonas,,
24,Constans II,13.0,12.0
25,Constantine IV,14.0,16.0
26,Justinian II Slit-Nose,14.0,4.0
27,Leontios,8.0,7.0
28,Tiberios III,8.0,7.0
29,Philippikos,10.0,4.0
30,Anastasios II,9.0,8.0
31,Theodosios III,10.0,9.0
32,Leo III the Isaurian,19.0,19.0
33,Constantine V Kopronymos,17.0,17.0
34,Artabasdos,8.0,4.0
35,Leo IV the Khazar,9.0,11.0
36,Constantine VI,10.0,7.0
37,Eirene,9.0,12.0
38,Nikephoros I,8.0,14.0
39,Staurakios,,
40,Michael I Rhangabe,10.0,6.0
41,Leo V the Armenian,12.0,14.0
42,Michael II the Amorian,14.0,10.0
43,Theophilos,10.0,12.0
44,Michael III the Drunkard,11.0,9.0
45,Basil I the Macedonian,7.0,15.0
46,Leo VI the Wise,6.0,16.0
47,Alexander,9.0,6.0
48,Constantine VII Porphyrogennetos,9.0,12.0
49,Romanos I Lekapenos,7.0,15.0
50,Romanos II,6.0,10.0
51,Nikephoros II Phokas,10.0,17.0
52,John I Tzimiskes,5.0,18.0
53,Basil II the Bulgar-Slayer,8.0,20.0
54,Constantine VIII,1.0,11.0
55,Romanos III Argyros,2.0,6.0
56,Michael IV the Paphlagonian,3.0,11.0
57,Michael V Kalaphates,3.0,4.0
58,Zoe (with Theodora),5.0,12.0
59,Theodora,6.0,12.0
60,Constantine IX Monomachos,6.0,10.0
61,Michael VI Bringas,7.0,5.0
62,Isaac I Komnenos,8.0,10.0
63,Constantine X Doukas,12.0,6.0
64,Romanos IV Diogenes,17.0,9.0
65,Michael VII Doukas,13.0,6.0
66,Nikephoros III Botaneiates,12.0,7.0
67,Alexios I Komnenos,19.0,18.0
68,John II Komnenos,12.0,17.0
69,Manuel I Komnenos,10.0,13.0
70,Alexios II Komnenos,,
71,Andronikos I Komnenos,8.0,2.0
72,Isaac II Angelos,15.0,10.0
73,Alexios III Angelos,12.0,1.0
74,Alexios IV Angelos,18.0,1.0
75,Alexios V Mourtzouphlos,20.0,2.0
76,Theodore I Laskaris,19.0,15.0
77,John III Doukas Vatatzes,16.0,18.0
78,Theodore II Laskaris,14.0,12.0
79,John IV Laskaris,,
80,Michael VIII Palaiologos,16.0,16.0
81,Andronikos II Palaiologos,18.0,4.0
82,Michael IX Palaiologos,15.0,10.0
83,Andronikos III Palaiologos,18.0,12.0
84,John V Palaiologos,17.0,7.0
85,John VI Kantakouzenos,17.0,1.0
86,Andronikos IV Palaiologos,17.0,6.0
87,John VII Palaiologos,17.0,5.0
88,Manuel II Palaiologos,19.0,10.0
89,John VIII Palaiologos,18.0,8.0
90,Constantine XI Palaiologos Dragases,20.0,12.0
